             eV             nm  Absorbance(f)     XX(length)     YY(length)     ZZ(length)      R(length)   XX(velocity)   YY(velocity)   ZZ(velocity)    R(velocity)
         2.7374       452.9200         0.0167         0.0224        -0.0539       555.4271       185.1319       400.4813       193.0092        -0.0031       197.8291
         2.7601       449.2100         0.0415         0.0792        -0.1774      -323.0463      -107.7149      -299.8234       -31.8566         0.0057      -110.5581
         2.7659       448.2600         0.0055         0.1367       -99.7560        -0.1757       -33.2650       -39.1488         0.0484       -60.2898       -33.1301
         2.7905       444.3100         0.0294       -91.2729       -75.0802        -0.0178       -55.4570       -39.3759       -40.2123       -95.6736       -58.4206
         2.8079       441.5600         0.0006         1.0493        -0.7036       -56.0780       -18.5775       -40.1737       -32.1731         0.0639       -24.0943
         2.8235       439.1200         0.0303       255.7238      -253.2829        -0.1879         0.7510       -97.9446       148.9027       -68.9806        -6.0075
         2.8402       436.5400         0.0048         0.1569         0.0522       201.8388        67.3493       118.7846       102.9706         0.1122        73.9558
         2.8475       435.4200         0.0354       -80.4926       373.6772         0.1941        97.7929       265.3204       -30.7811        99.9062       111.4819
         2.8953       428.2200         0.0042         0.0150        -0.0327       268.2331        89.4052       183.5886       111.9024         0.0130        98.5013
         2.9422       421.4000         0.0598       -37.8802       -17.2347         0.0152       -18.3666       -55.0756       -29.5226        25.6910       -19.6357
         2.9720       417.1700         0.0054       -10.2057       -28.5591       -10.6999       -16.4882       -32.3182        -5.9711       -18.2502       -18.8465
         2.9733       416.9900         0.0194       -54.1443      -175.8454        -2.1493       -77.3797      -151.9812       -10.8553      -103.0525       -88.6297
         2.9966       413.7500         0.1246       230.3953      -302.9022         0.0351       -24.1573      -197.9820       104.6715        25.7245       -22.5287
         3.0224       410.2100         0.0234         0.0953        -0.2574       195.8851        65.2410       170.0970        60.6778        -0.0104        76.9215
         3.0296       409.2400         0.0264         0.9552         3.7762         0.2153         1.6489         3.6605        -0.2010         2.7907         2.0834
         3.0576       405.4900         0.0001        -0.0054        -0.0929       -29.9762       -10.0248       -13.6971        -7.2447        -0.0313        -6.9910
         3.0773       402.9000         0.0223       -28.8773        74.7377        -0.0046        15.2853        72.2888       -13.2275        -1.8664        19.0650
         3.1015       399.7500         0.0638         1.7273        -0.2585       138.5286        46.6658        27.5096       129.1996         1.2180        52.6424
         3.1051       399.3000         0.2615        59.4124        -3.4465         1.8805        19.2821        -5.4558        26.0185        39.5727        20.0452
         3.1312       395.9600         0.0123         8.7006      -185.6201         2.5772       -58.1141      -150.7337        14.4157       -73.3266       -69.8815
         3.1349       395.5000         0.0064         0.9300        -8.0724       117.8133        36.8903        80.5932        70.1237        -3.5530        49.0546
         3.1447       394.2700         0.5508       224.4011       251.9503        -0.0343       158.7724       248.3527        33.0582       229.1774       170.1961
         3.1560       392.8500         0.0013         0.4449         0.0382       -17.6432        -5.7200       -10.5738        -5.1618         0.2063        -5.1764
         3.1829       389.5400         0.0397      -121.5158      -178.3158         0.0316       -99.9333       -94.9560       -53.6397      -170.6383      -106.4113
         3.1991       387.5600         0.0007        -0.3253        -0.0868        30.3450         9.9776        20.0281        11.3110        -0.1603        10.3930
         3.2084       386.4400         0.0417       -79.6950       -93.4396        -0.0988       -57.7445       -77.4988       -31.9019       -93.5016       -67.6341
         3.2466       381.8900         2.1581      -780.9729      -146.4264         0.0006      -309.1329       -94.8179      -604.0483      -246.6743      -315.1802
         3.2767       378.3800         0.0071        -0.1346        -0.0086       -85.0649       -28.4027        -7.6592       -90.5875        -0.0310       -32.7592
         3.3165       373.8400         0.0021         0.0057         0.0041        36.1934        12.0677        32.3681         4.4471         0.0163        12.2772
         3.3273       372.6300         0.0834      -275.2773       -43.8747        -0.0163      -106.3894       -55.1068      -120.4967      -163.1035      -112.9023
         3.3347       371.8000         0.0267         6.9409        73.0300        -0.0042        26.6556        57.3601        22.9082        -1.1389        26.3765
